root_norm	stem	form_tag	frame_signature	instance_count	sample_refs	object_status_profile	prep_profile	object_root_profile	prep_object_root_profile	surah_count
ت ل و	أتل	IV	obj=clausal|prep=-|clause=yes|cognate=no	1	24:22:3	clausal:1				1
ت ل و	اتل	CV	obj=clitic|prep=-|clause=no|cognate=no	1	3:93:25	clitic:1				1
ت ل و	اتل	CV	obj=explicit|prep=مِن|clause=no|cognate=no	1	18:27:2	explicit:1	مِن:1		ك ت ب:1	1
ت ل و	تلا	PV	obj=clitic|prep=-|clause=no|cognate=no	1	91:2:4	clitic:1				1
ت ل و	تلو	IV	obj=clitic|prep=عَلَى;بـ|clause=no|cognate=no	3	2:252:4;3:108:4;45:6:4	clitic:3	عَلَى:3;بـ:3		ح ق ق:3	3
ت ل و	تلو	IV	obj=explicit|prep=-|clause=no|cognate=no	2	27:92:3;98:2:4	explicit:2		ق ر ء:1;ص ح ف:1		2
ت ل و	تلو	IV	obj=explicit|prep=عَلَى;مِن|clause=no|cognate=no	1	18:83:7	explicit:1	عَلَى:1;مِن:1	ذ ك ر:1		1
ت ل و	تلو	IV	obj=explicit|prep=عَلَى|clause=no|cognate=no	9	2:102:4;2:129:7;2:151:7;3:164:13;13:30:12;28:45:16;28:59:12;62:2:8;65:11:2	explicit:9	عَلَى:9	أ ي ي:7;ل ل ذ:1	م ل ك:1	6
ت ل و	تلو	IV	obj=none_absolute|prep=عَلَى;مِن;بـ;لـ|clause=no|cognate=no	1	28:3:1	none_absolute:1	عَلَى:1;مِن:1;بـ:1;لـ:1		ن ب أ:1;ح ق ق:1;ق و م:1	1
ت ل و	تلو	IV	obj=none_absolute|prep=مِن;مِن|clause=no|cognate=no	2	10:61:8;29:48:4	none_absolute:2	مِن:4		ق ر ء:1;ق ب ل:1;ك ت ب:1	2
ت ل و	تلو	PV	obj=clitic|prep=عَلَى|clause=no|cognate=no	1	10:16:6	clitic:1	عَلَى:1			1
ت ل و	تلى	IV_PASS	obj=none_passive|prep=عَلَى;فِي;فِي|clause=no|cognate=no	1	4:127:11	none_passive:1	فِي:2;عَلَى:1		ك ت ب:1;ي ت م:1	1
ت ل و	تلى	IV_PASS	obj=none_passive|prep=عَلَى|clause=no|cognate=no	21	3:101:6;5:1:14;8:31:3;10:15:3;17:107:14;19:58:28;19:73:3;22:30:19;22:72:3;23:66:4	none_passive:21	عَلَى:21			16
ت ل و	تلى	IV_PASS	obj=none_passive|prep=فِي;مِن|clause=no|cognate=no	1	33:34:4	none_passive:1	فِي:1;مِن:1		ب ي ت:1;أ ي ي:1	1
ت ل و	تلي	PV_PASS	obj=none_passive|prep=عَلَى|clause=no|cognate=no	1	8:2:11	none_passive:1	عَلَى:1			1
ت م ر	تمر	CV	obj=none_intransitive|prep=بـ|clause=no|cognate=no	1	65:6:32	none_intransitive:1	بـ:1		ع ر ف:1	1
