root_arabic	form_tag	form_tag_available	instance_count	legacy_instance_count	referent_total	resolution_coverage	dominant_referent	dominant_ratio	agency	referent_entropy	referent_dist	source	batch_count	low_occurrence
ل س ن	NOUN_CONCRETE	True	25	25	15	0.6	HUMANS_GENERIC	0.4	human	2.289	"{""BELIEVERS"": 1, ""DISBELIEVERS"": 3, ""HUMANS_GENERIC"": 6, ""PEOPLE_OF_BOOK"": 1, ""PROPHET_MUHAMMAD"": 2, ""PROPHET_OTHER"": 2}"	legacy	18	False
ل ط ف	ADJ_QUALIT	True	5	0	1	0.0	OTHER	1.0	mixed	0.0	"{""OTHER"": 1}"	legacy	5	False
ل ط ف	IV:V	True	1	0	1	0.0	OTHER	1.0	mixed	0.0	"{""OTHER"": 1}"	legacy	1	True
ل ط ف	NOUN_PROP	True	2	8	1	0.125	OTHER	1.0	mixed	0.0	"{""OTHER"": 1}"	legacy	2	True
ل ظ ي	NOUN_CONCRETE	True	1	2	1	0.5	NATURE_CREATION	1.0	mixed	0.0	"{""NATURE_CREATION"": 1}"	legacy	1	True
ل ظ ي	PV:V	True	1	0	1	0.0	NATURE_CREATION	1.0	mixed	0.0	"{""NATURE_CREATION"": 1}"	legacy	1	True
ل ع ب	GERUND	True	8	20	8	0.4	DISBELIEVERS	0.25	mixed	2.0	"{""DISBELIEVERS"": 2, ""HUMANS_GENERIC"": 2, ""OTHER"": 2, ""PROPHET_OTHER"": 2}"	legacy	6	False
ل ع ب	IV:I	True	8	0	8	0.0	DISBELIEVERS	0.25	mixed	2.0	"{""DISBELIEVERS"": 2, ""HUMANS_GENERIC"": 2, ""OTHER"": 2, ""PROPHET_OTHER"": 2}"	legacy	8	False
ل ع ب	NOUN_ACTIVE_PART	True	3	0	8	0.0	DISBELIEVERS	0.25	mixed	2.0	"{""DISBELIEVERS"": 2, ""HUMANS_GENERIC"": 2, ""OTHER"": 2, ""PROPHET_OTHER"": 2}"	legacy	2	True
ل ع ب	PV:I	True	1	0	8	0.0	DISBELIEVERS	0.25	mixed	2.0	"{""DISBELIEVERS"": 2, ""HUMANS_GENERIC"": 2, ""OTHER"": 2, ""PROPHET_OTHER"": 2}"	legacy	1	True
ل ع ن	CV:I	True	1	0	35	0.0	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	1	True
ل ع ن	GERUND	True	1	0	35	0.0	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	1	True
ل ع ن	GERUND_INSTANT	True	14	0	35	0.0	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	10	False
ل ع ن	IV:I	True	5	0	35	0.0	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	3	False
ل ع ن	NOUN_ACTIVE_PART	True	1	0	35	0.0	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	1	True
ل ع ن	NOUN_PASSIVE_PART	True	2	0	35	0.0	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	2	True
ل ع ن	PV:I	True	14	41	35	0.854	OTHER	0.314	mixed	2.774	"{""ABSTRACT_CONCEPT"": 1, ""ANGELS"": 1, ""BANU_ISRAEL"": 2, ""DISBELIEVERS"": 1, ""GOD"": 5, ""HUMANS_GENERIC"": 8, ""HYPOCRITES"": 2, ""OTHER"": 11, ""PEOPLE_OF_BOOK"": 3, ""SATAN"": 1}"	legacy	8	False
