qac_root_norm	qac_total_occurrences	matched_occurrences	mapping_status	dominant_frozen_root_norm	dominant_furuq_root_id	dominant_furuq_root_norm	dominant_furuq_source_root_norm	dominant_resolution	dominant_occurrences	targets	status_counts	sample_refs	sample_surfaces
ش ي ء	519	509	unique	ش ي ء	root_000831	ش ي ء	ش ي ء	source_root_norm	509	ش ي ء=>root_000831=>ش ي ء=>ش ي ء=>source_root_norm:509	same_word_same_root:509	2:20:18|2:20:30|2:29:21|2:35:15|2:48:9|2:58:11|2:70:16|2:90:19	شَآءَ|شَىْءٍۢ|شَىْءٍ|شِئْتُمَا|شَيْـًۭٔا|شِئْتُمْ|يَشَآءُ|يَشَاءُ
ش ي ب	3	3	unique	ش ي ب	root_000833	ش ي ب	ش ي ب	source_root_norm	3	ش ي ب=>root_000833=>ش ي ب=>ش ي ب=>source_root_norm:3	same_word_same_root:3	19:4:10|30:54:19|73:17:9	شَيْبًا|شَيْبَةً|شِيبًا
ش ي خ	4	4	unique	ش ي خ	root_000834	ش ي خ	ش ي خ	source_root_norm	4	ش ي خ=>root_000834=>ش ي خ=>ش ي خ=>source_root_norm:4	same_word_same_root:4	11:72:11|12:78:8|28:23:29|40:67:22	شَيْخًا|شَيْخٌۭ|شُيُوخًۭا
ش ي د	2	2	unique	ش ي د	root_000835	ش ي د	ش ي د	source_root_norm	2	ش ي د=>root_000835=>ش ي د=>ش ي د=>source_root_norm:2	same_word_same_root:2	4:78:10|22:45:19	مُشَيَّدَةٍ|مَشِيدٍ
ش ي ع	12	9	unique	ش ي ع	root_000836	ش ي ع	ش ي ع	source_root_norm	9	ش ي ع=>root_000836=>ش ي ع=>ش ي ع=>source_root_norm:9	same_word_same_root:9	6:65:17|6:159:7|15:10:8|19:69:6|24:19:5|28:4:9|30:32:7|34:54:12	شِيَعًۭا|شِيَعًا|شِيَعِ|شِيعَةٍ|تَشِيعَ|أَشْيَاعِهِم|أَشْيَاعَكُمْ
ص ب ء	3	0	no_frozen_rooted_surface_match						0				
ص ب ب	5	5	unique	ص ب ب	root_000838	ص ب ب	ص ب ب	source_root_norm	5	ص ب ب=>root_000838=>ص ب ب=>ص ب ب=>source_root_norm:5	same_word_same_root:5	22:19:15|44:48:2|80:25:2|80:25:4|89:13:2	يُصَبُّ|صُبُّوا۟|صَبَبْنَا|صَبًّۭا|صَبَّ
ص ب ح	45	41	unique	ص ب ح	root_000839	ص ب ح	ص ب ح	source_root_norm	41	ص ب ح=>root_000839=>ص ب ح=>ص ب ح=>source_root_norm:41	same_word_same_root:41	3:103:23|5:30:10|5:31:27|5:53:18|5:102:7|6:96:2|7:78:5|7:91:5	أَصْبَحْتُم|أَصْبَحَ|أَصْبَحُوا۟|ٱلْإِصْبَاحِ|ٱلصُّبْحُ|أَصْبَحُوا|مُّصْبِحِينَ|مُصْبِحِينَ
ص ب ر	103	103	unique	ص ب ر	root_000840	ص ب ر	ص ب ر	source_root_norm	103	ص ب ر=>root_000840=>ص ب ر=>ص ب ر=>source_root_norm:103	same_word_same_root:103	2:45:4|2:61:7|2:153:7|2:153:13|2:155:20|2:175:13|2:177:58|2:249:75	ٱلصَّبْرِ|نَصْبِرَ|ٱلصَّٰبِرِينَ|أَصْبَرَهُمْ|صَبْرًۭا|تَصْبِرُوا|تَصْبِرُوا۟|الصَّابِرِينَ
ص ب ع	2	0	no_frozen_rooted_surface_match						0				
ص ب غ	3	3	unique	ص ب غ	root_000842	ص ب غ	ص ب غ	source_root_norm	3	ص ب غ=>root_000842=>ص ب غ=>ص ب غ=>source_root_norm:3	same_word_same_root:3	2:138:1|2:138:8|23:20:11	صِبْغَةَ|صِبْغَةًۭ|صِبْغٍ
ص ب و	3	3	split	ص ب و	root_000843	ص ب و	ص ب و	source_root_norm	2	ص ب و=>root_000843=>ص ب و=>ص ب و=>source_root_norm:2|ص ب ب=>root_000838=>ص ب ب=>ص ب ب=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:2	12:33:14|19:12:10|19:29:11	أَصْبُ|صَبِيًّا
ص ح ب	97	79	unique	ص ح ب	root_000844	ص ح ب	ص ح ب	source_root_norm	79	ص ح ب=>root_000844=>ص ح ب=>ص ح ب=>source_root_norm:79	same_word_same_root:79	2:39:9|2:82:8|2:119:12|2:217:65|2:257:21|2:275:51|3:116:16|4:36:29	أَصْحَٰبُ|أَصْحَٰبِ|ٱلصَّاحِبِ|أَصْحَٰبٌ|صَٰحِبَةٌ|أَصْحَٰبَ|صَاحِبِهِمْ|صَٰحِبِهِۦ
ص ح ف	9	9	unique	ص ح ف	root_000845	ص ح ف	ص ح ف	source_root_norm	9	ص ح ف=>root_000845=>ص ح ف=>ص ح ف=>source_root_norm:9	same_word_same_root:9	20:133:15|43:71:4|53:36:7|74:52:8|80:13:2|81:10:3|87:18:5|87:19:1	الصُّحُفِ|صِحَافٍۢ|صُحُفِ|صُحُفًۭا|صُحُفٍۢ|ٱلصُّحُفُ|ٱلصُّحُفِ|صُحُفًا
ص خ خ	1	0	no_frozen_rooted_surface_match						0				
ص خ ر	3	2	unique	ص خ ر	root_000847	ص خ ر	ص خ ر	source_root_norm	2	ص خ ر=>root_000847=>ص خ ر=>ص خ ر=>source_root_norm:2	same_word_same_root:2	31:16:13|89:9:5	صَخْرَةٍ|ٱلصَّخْرَ
ص د د	42	42	unique	ص د د	root_000848	ص د د	ص د د	source_root_norm	42	ص د د=>root_000848=>ص د د=>ص د د=>source_root_norm:42	same_word_same_root:42	2:217:12|3:99:6|4:55:9|4:61:16|4:61:18|4:160:15|4:167:5|5:2:41	صَدٌّ|تَصُدُّونَ|صَدَّ|يَصُدُّونَ|صُدُودًا|صَدِّهِمْ|صَدُّوا۟|صَدُّوكُمْ
ص د ر	46	46	unique	ص د ر	root_000849	ص د ر	ص د ر	source_root_norm	46	ص د ر=>root_000849=>ص د ر=>ص د ر=>source_root_norm:46	same_word_same_root:46	3:29:6|3:118:24|3:119:35|3:154:74|3:154:86|4:90:13|5:7:24|6:125:8	صُدُورِكُمْ|صُدُورُهُمْ|ٱلصُّدُورِ|الصُّدُورِ|صَدْرَهُ|صَدْرِكَ|صُدُورِهِم|صُدُورَ
ص د ع	5	3	unique	ص د ع	root_000850	ص د ع	ص د ع	source_root_norm	3	ص د ع=>root_000850=>ص د ع=>ص د ع=>source_root_norm:3	same_word_same_root:3	15:94:2|59:21:10|86:12:4	ٱصْدَعْ|مُّتَصَدِّعًۭا|ٱلصَّدْعِ
ص د ف	5	4	unique	ص د ف	root_000851	ص د ف	ص د ف	source_root_norm	4	ص د ف=>root_000851=>ص د ف=>ص د ف=>source_root_norm:4	same_word_same_root:4	6:46:25|6:157:31|6:157:35|6:157:43	يَصْدِفُونَ|صَدَفَ
ص د ق	155	140	unique	ص د ق	root_000852	ص د ق	ص د ق	source_root_norm	140	ص د ق=>root_000852=>ص د ق=>ص د ق=>source_root_norm:140	same_word_same_root:140	2:23:24|2:31:18|2:41:6|2:89:8|2:91:25|2:94:18|2:97:15|2:101:8	صَٰدِقِينَ|مُصَدِّقًۭا|مُصَدِّقٌۭ|مُصَدِّقًا|مُصَدِّقٌ|صَدَقُوا۟|صَدَقَةٍ|تَصَدَّقُوا۟
ص د ي	2	2	unique	ص د ي	root_000853	ص د ي	ص د ي	source_root_norm	2	ص د ي=>root_000853=>ص د ي=>ص د ي=>source_root_norm:2	same_word_same_root:2	8:35:10|80:6:4	تَصْدِيَةً|تَصَدَّىٰ
ص ر ح	4	4	unique	ص ر ح	root_000854	ص ر ح	ص ر ح	source_root_norm	4	ص ر ح=>root_000854=>ص ر ح=>ص ر ح=>source_root_norm:4	same_word_same_root:4	27:44:5|27:44:17|28:38:23|40:36:8	ٱلصَّرْحَ|صَرْحٌۭ|صَرْحًۭا
ص ر خ	5	3	unique	ص ر خ	root_000855	ص ر خ	ص ر خ	source_root_norm	3	ص ر خ=>root_000855=>ص ر خ=>ص ر خ=>source_root_norm:3	same_word_same_root:3	14:22:38|14:22:43|36:43:7	مُصْرِخِكُمْ|مُصْرِخِيَّ|صَرِيخَ
ص ر ر	6	4	unique	ص ر ر	root_000856	ص ر ر	ص ر ر	source_root_norm	4	ص ر ر=>root_000856=>ص ر ر=>ص ر ر=>source_root_norm:4	same_word_same_root:4	3:117:12|45:8:7|51:29:5|71:7:17	صِرٌّ|يُصِرُّ|صَرَّةٍۢ|أَصَرُّوا۟
ص ر ص ر	3	3	unique	ص ر ص ر	root_000857	ص ر ص ر	ص ر ص ر	source_root_norm	3	ص ر ص ر=>root_000857=>ص ر ص ر=>ص ر ص ر=>source_root_norm:3	same_word_same_root:3	41:16:5|54:19:5|69:6:8	صَرْصَرًۭا|صَرْصَرٍ
ص ر ط	45	29	unique	ص ر ط	root_000858	ص ر ط	ص ر ط	source_root_norm	29	ص ر ط=>root_000858=>ص ر ط=>ص ر ط=>source_root_norm:29	same_word_same_root:29	1:7:1|2:142:22|2:213:57|3:51:9|3:101:22|4:175:20|6:39:20|6:87:13	صِرَٰطَ|صِرَٰطٍۢ|صِرَٰطٌۭ|صِرَٰطًۭا|صِرَٰطٍ|صِرَٰطُ|صِرَٰطِ|صِرَٰطٌ
ص ر ع	1	1	unique	ص ر ع	root_000859	ص ر ع	ص ر ع	source_root_norm	1	ص ر ع=>root_000859=>ص ر ع=>ص ر ع=>source_root_norm:1	same_word_same_root:1	69:7:13	صَرْعَىٰ
