qac_root_norm	qac_total_occurrences	matched_occurrences	mapping_status	dominant_frozen_root_norm	dominant_furuq_root_id	dominant_furuq_root_norm	dominant_furuq_source_root_norm	dominant_resolution	dominant_occurrences	targets	status_counts	sample_refs	sample_surfaces
خ و ف	124	120	unique	خ و ف	root_000447	خ و ف	خ و ف	source_root_norm	120	خ و ف=>root_000447=>خ و ف=>خ و ف=>source_root_norm:120	same_word_same_root:120	2:38:16|2:62:29|2:112:17|2:114:24|2:155:7|2:182:3|2:229:22|2:229:29	خَوْفٌ|خَآئِفِينَ|ٱلْخَوْفِ|خَافَ|يَخَافَآ|خِفْتُمْ|يُخَوِّفُ|تَخَافُوهُمْ
خ و ل	8	6	unique	خ و ل	root_000448	خ و ل	خ و ل	source_root_norm	6	خ و ل=>root_000448=>خ و ل=>خ و ل=>source_root_norm:6	same_word_same_root:6	6:94:14|24:61:46|33:50:27|33:50:30|39:8:12|39:49:9	خَوَّلْنَاكُمْ|خَالَاتِكُمْ|خَالِكَ|خَٰلَٰتِكَ|خَوَّلَهُۥ|خَوَّلْنَٰهُ
خ و ن	16	7	unique	خ و ن	root_000449	خ و ن	خ و ن	source_root_norm	7	خ و ن=>root_000449=>خ و ن=>خ و ن=>source_root_norm:7	same_word_same_root:7	4:107:14|5:13:26|8:58:6|8:71:7|22:38:12|40:19:2|66:10:19	خَوَّانًا|خَآئِنَةٍۢ|خِيَانَةً|خَانُوا۟|خَوَّانٍۢ|خَآئِنَةَ|خَانَتَاهُمَا
خ و ي	5	5	unique	خ و ي	root_000450	خ و ي	خ و ي	source_root_norm	5	خ و ي=>root_000450=>خ و ي=>خ و ي=>source_root_norm:5	same_word_same_root:5	2:259:9|18:42:15|22:45:11|27:52:4|69:7:17	خَاوِيَةٌ|خَاوِيَةًۢ|خَاوِيَةٍ
خ ي ب	5	5	unique	خ ي ب	root_000451	خ ي ب	خ ي ب	source_root_norm	5	خ ي ب=>root_000451=>خ ي ب=>خ ي ب=>source_root_norm:5	same_word_same_root:5	3:127:11|14:15:4|20:61:17|20:111:9|91:10:3	خَآئِبِينَ|خَابَ
خ ي ر	196	184	unique	خ ي ر	root_000452	خ ي ر	خ ي ر	source_root_norm	184	خ ي ر=>root_000452=>خ ي ر=>خ ي ر=>source_root_norm:184	same_word_same_root:184	2:54:23|2:61:38|2:103:12|2:105:15|2:106:9|2:110:13|2:158:25|2:180:9	خَيْرٌ|خَيْرٍ|خَيْرًا|خَيْرًۭا|خَيْرٌۭ|خَيْرَ|خَيْرٍۢ|ٱلْخَيْرُ
خ ي ط	3	3	unique	خ ي ط	root_000453	خ ي ط	خ ي ط	source_root_norm	3	خ ي ط=>root_000453=>خ ي ط=>خ ي ط=>source_root_norm:3	same_word_same_root:3	2:187:44|2:187:47|7:40:24	ٱلْخَيْطُ|ٱلْخَيْطِ|ٱلْخِيَاطِ
خ ي ل	9	9	unique	خ ي ل	root_000454	خ ي ل	خ ي ل	source_root_norm	9	خ ي ل=>root_000454=>خ ي ل=>خ ي ل=>source_root_norm:9	same_word_same_root:9	3:14:18|4:36:45|8:60:12|16:8:2|17:64:10|20:66:9|31:18:18|57:23:18	ٱلْخَيْلِ|مُخْتَالًۭا|ٱلْخَيْلَ|بِخَيْلِكَ|يُخَيَّلُ|مُخْتَالٍ|خَيْلٍۢ
خ ي م	1	1	unique	خ ي م	root_000455	خ ي م	خ ي م	source_root_norm	1	خ ي م=>root_000455=>خ ي م=>خ ي م=>source_root_norm:1	same_word_same_root:1	55:72:4	ٱلْخِيَامِ
د ء ب	6	6	unique	د ء ب	root_000456	د ء ب	د أ ب	root_norm_unique	6	د ء ب=>root_000456=>د ء ب=>د أ ب=>root_norm_unique:6	same_word_same_root:6	3:11:2|8:52:2|8:54:2|12:47:5|14:33:7|40:31:2	دَأْبِ|دَأَبًۭا|دَآئِبَيْنِ
د ب ب	18	18	split	د ء ب	root_000456	د ء ب	د أ ب	root_norm_unique	12	د ء ب=>root_000456=>د ء ب=>د أ ب=>root_norm_unique:12|د ب ب=>root_000457=>د ب ب=>د ب ب=>source_root_norm:6	same_word_root_diff:12|same_word_same_root:6	2:164:41|6:38:4|11:6:4|11:56:10|16:49:13|16:61:12|24:45:5|27:82:9	دَآبَّةٍۢ|دَابَّةٍ|دَآبَّةًۭ|دَآبَّةٍ|دَآبَّةُ|دَآبَّةٍۢ|ٱلدَّوَآبِّ|ٱلدَّوَآبُّ
د ب ر	44	31	unique	د ب ر	root_000458	د ب ر	د ب ر	source_root_norm	31	د ب ر=>root_000458=>د ب ر=>د ب ر=>source_root_norm:31	same_word_same_root:31	3:111:9|4:47:21|5:21:14|6:45:3|7:72:11|8:7:27|8:15:13|8:16:5	ٱلْأَدْبَارَ|أَدْبَارِهَا|أَدْبَارِكُمْ|دَابِرُ|دَابِرَ|دُبُرَهُ|مُّدْبِرِينَ|يُدَبِّرُ
د ث ر	1	1	unique	د ث ر	root_000459	د ث ر	د ث ر	source_root_norm	1	د ث ر=>root_000459=>د ث ر=>د ث ر=>source_root_norm:1	same_word_same_root:1	74:1:3	ٱلْمُدَّثِّرُ
د ح ر	4	4	unique	د ح ر	root_000460	د ح ر	د ح ر	source_root_norm	4	د ح ر=>root_000460=>د ح ر=>د ح ر=>source_root_norm:4	same_word_same_root:4	7:18:5|17:18:18|17:39:20|37:9:1	مَّدْحُورًۭا|مَّدْحُورًا|دُحُورًۭا
د ح ض	4	1	unique	د ح ض	root_000461	د ح ض	د ح ض	source_root_norm	1	د ح ض=>root_000461=>د ح ض=>د ح ض=>source_root_norm:1	same_word_same_root:1	42:16:12	دَاحِضَةٌ
د ح و	1	0	no_frozen_rooted_surface_match						0				
د خ ر	4	2	unique	د خ ر	root_000463	د خ ر	د خ ر	source_root_norm	2	د خ ر=>root_000463=>د خ ر=>د خ ر=>source_root_norm:2	same_word_same_root:2	37:18:5|40:60:14	دَٰخِرُونَ|دَاخِرِينَ
د خ ل	126	102	unique	د خ ل	root_000464	د خ ل	د خ ل	source_root_norm	102	د خ ل=>root_000464=>د خ ل=>د خ ل=>source_root_norm:102	same_word_same_root:102	2:58:4|2:58:14|2:111:4|2:114:22|2:208:5|2:214:4|3:37:15|3:97:8	ٱدْخُلُوا۟|يَدْخُلَ|يَدْخُلُوهَآ|تَدْخُلُوا|دَخَلَ|دَخَلَهُۥ|أُدْخِلَ|تُدْخِلِ
د خ ن	2	2	unique	د خ ن	root_000465	د خ ن	د خ ن	source_root_norm	2	د خ ن=>root_000465=>د خ ن=>د خ ن=>source_root_norm:2	same_word_same_root:2	41:11:7|44:10:7	دُخَانٌۭ|دُخَانٍۢ
د ر ء	5	0	no_frozen_rooted_surface_match						0				
د ر ج	20	16	unique	د ر ج	root_000468	د ر ج	د ر ج	source_root_norm	16	د ر ج=>root_000468=>د ر ج=>د ر ج=>source_root_norm:16	same_word_same_root:16	2:228:50|2:253:14|3:163:2|4:95:27|4:96:1|6:83:9|6:132:4|6:165:12	دَرَجَةٌ|دَرَجَٰتٍ|دَرَجَٰتٌ|دَرَجَةً|دَرَجَٰتٍۢ|دَرَجَٰتٌۭ|دَرَجَةًۭ
د ر ر	4	4	split	د ر ر	root_000469	د ر ر	د ر ر	source_root_norm	3	د ر ر=>root_000469=>د ر ر=>د ر ر=>source_root_norm:3|د و ر=>root_000499=>د و ر=>د و ر=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:3	6:6:20|11:52:12|71:11:4|24:35:18	مِدْرَارًۭا|مِّدْرَارًۭا|دُرِّىٌّ
د ر س	6	5	unique	د ر س	root_000470	د ر س	د ر س	source_root_norm	5	د ر س=>root_000470=>د ر س=>د ر س=>source_root_norm:5	same_word_same_root:5	3:79:36|6:105:9|7:169:35|34:44:6|68:37:5	تَدْرُسُونَ|دَرَسْتَ|دَرَسُوا|يَدْرُسُونَهَا
د ر ك	12	8	unique	د ر ك	root_000471	د ر ك	د ر ك	source_root_norm	8	د ر ك=>root_000471=>د ر ك=>د ر ك=>source_root_norm:8	same_word_same_root:8	4:145:4|6:103:6|7:38:22|10:90:16|20:77:21|26:61:10|27:66:2|36:40:7	ٱلدَّرْكِ|يُدْرِكُ|ٱدَّارَكُوا۟|أَدْرَكَهُ|دَرَكًا|مُدْرَكُونَ|ٱدَّٰرَكَ|تُدْرِكَ
د ر ه م	1	0	no_frozen_rooted_surface_match						0				
د ر ي	29	11	split	د ر ر	root_000469	د ر ر	د ر ر	source_root_norm	7	د ر ر=>root_000469=>د ر ر=>د ر ر=>source_root_norm:7|د ر ي=>root_000473=>د ر ي=>د ر ي=>source_root_norm:4	same_word_root_diff:7|same_word_same_root:4	21:109:11|21:111:3|31:34:16|31:34:23|46:9:9|65:1:45|72:10:4|42:52:11	أَدْرِي|أَدْرِى|تَدْرِى|نَدْرِىٓ|نَدْرِى|أَدْرِ|أَدْرِىٓ
د س ر	1	1	unique	د س ر	root_000474	د س ر	د س ر	source_root_norm	1	د س ر=>root_000474=>د س ر=>د س ر=>source_root_norm:1	same_word_same_root:1	54:13:7	دُسُرٍ
د س س	1	0	no_frozen_rooted_surface_match						0				
د س و	1	0	no_frozen_rooted_surface_match						0				
د ع ع	3	3	split	د ع ع	root_000477	د ع ع	د ع ع	source_root_norm	2	د ع ع=>root_000477=>د ع ع=>د ع ع=>source_root_norm:2|د ع و=>root_000478=>د ع و=>د ع و=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:2	52:13:2|107:2:4|52:13:6	يُدَعُّونَ|يَدُعُّ|دَعًّا
د ع و	212	99	split	د ع و	root_000478	د ع و	د ع و	source_root_norm	77	د ع و=>root_000478=>د ع و=>د ع و=>source_root_norm:77|د ع ع=>root_000477=>د ع ع=>د ع ع=>source_root_norm:22	same_word_root_diff:22|same_word_same_root:77	2:61:12|2:68:2|2:69:2|2:70:2|2:282:102|3:61:14|7:134:9|10:22:38	ٱدْعُ|دُعُوا۟|نَدْعُ|دَعَوُا|تَدْعُ|دَعَوْا۟|يَدْعُ|دُعُوا
د ف ء	1	1	unique	د ف ء	root_000479	د ف ء	د ف أ	root_norm_unique	1	د ف ء=>root_000479=>د ف ء=>د ف أ=>root_norm_unique:1	same_word_same_root:1	16:5:6	دِفْءٌ
د ف ع	10	10	unique	د ف ع	root_000480	د ف ع	د ف ع	source_root_norm	10	د ف ع=>root_000480=>د ف ع=>د ف ع=>source_root_norm:10	same_word_same_root:10	2:251:22|3:167:16|4:6:14|4:6:43|22:38:3|22:40:15|23:96:1|41:34:8	دَفْعُ|ٱدْفَعُوا۟|ٱدْفَعُوٓا۟|دَفَعْتُمْ|يُدَٰفِعُ|ٱدْفَعْ|دَافِعٍۢ|دَافِعٌ
د ف ق	1	1	unique	د ف ق	root_000481	د ف ق	د ف ق	source_root_norm	1	د ف ق=>root_000481=>د ف ق=>د ف ق=>source_root_norm:1	same_word_same_root:1	86:6:4	دَافِقٍۢ
د ك ك	7	7	unique	د ك ك	root_000482	د ك ك	د ك ك	source_root_norm	7	د ك ك=>root_000482=>د ك ك=>د ك ك=>source_root_norm:7	same_word_same_root:7	7:143:37|18:98:12|69:14:7|69:14:8|89:21:3|89:21:5|89:21:6	دَكًّۭا|دَكَّآءَ|دُكَّتَا|دَكَّةًۭ|دُكَّتِ|دَكًّۭا
د ل ك	1	1	unique	د ل ك	root_000483	د ل ك	د ل ك	source_root_norm	1	د ل ك=>root_000483=>د ل ك=>د ل ك=>source_root_norm:1	same_word_same_root:1	17:78:4	دُلُوكِ
د ل ل	8	7	unique	د ل ل	root_000484	د ل ل	د ل ل	source_root_norm	7	د ل ل=>root_000484=>د ل ل=>د ل ل=>source_root_norm:7	same_word_same_root:7	20:40:7|20:120:9|25:45:18|28:12:10|34:7:6|34:14:7|61:10:6	أَدُلُّكُمْ|أَدُلُّكَ|دَلِيلًا|نَدُلُّكُمْ|دَلَّهُمْ
د ل و	4	3	unique	د ل و	root_000485	د ل و	د ل و	source_root_norm	3	د ل و=>root_000485=>د ل و=>د ل و=>source_root_norm:3	same_word_same_root:3	12:19:8|12:19:9|53:8:4	أَدْلَى|دَلْوَهُ|تَدَلَّىٰ
د م د م	1	1	unique	د م د م	root_000486	د م د م	د م د م	source_root_norm	1	د م د م=>root_000486=>د م د م=>د م د م=>source_root_norm:1	same_word_same_root:1	91:14:6	دَمْدَمَ
د م ر	10	10	unique	د م ر	root_000487	د م ر	د م ر	source_root_norm	10	د م ر=>root_000487=>د م ر=>د م ر=>source_root_norm:10	same_word_same_root:10	7:137:26|17:16:17|17:16:18|25:36:11|25:36:12|26:172:2|27:51:8|37:136:2	دَمَّرْنَا|دَمَّرْنَٰهَا|تَدْمِيرًۭا|دَمَّرْنَٰهُمْ|دَمَّرْنَا|تُدَمِّرُ|دَمَّرَ
د م ع	2	2	unique	د م ع	root_000488	د م ع	د م ع	source_root_norm	2	د م ع=>root_000488=>د م ع=>د م ع=>source_root_norm:2	same_word_same_root:2	5:83:12|9:92:21	ٱلدَّمْعِ
د م غ	1	0	no_frozen_rooted_surface_match						0				
د م و	10	10	split	د م و	root_000490	د م و	د م و	source_root_norm	7	د م و=>root_000490=>د م و=>د م و=>source_root_norm:7|د م ي=>root_000491=>د م ي=>د م ي=>source_root_norm:3	same_word_root_diff:3|same_word_same_root:7	2:30:20|2:84:7|22:37:7|2:173:6|5:3:5|6:145:17|7:133:12|12:18:6	ٱلدِّمَآءَ|دِمَآءَكُمْ|دِمَآؤُهَا|ٱلدَّمَ|ٱلدَّمُ|دَمًا|دَمٍ
د ن ر	1	1	unique	د ن ر	root_000492	د ن ر	د ن ر	source_root_norm	1	د ن ر=>root_000492=>د ن ر=>د ن ر=>source_root_norm:1	same_word_same_root:1	3:75:18	دِينَارٍ
د ن و	133	132	unique	د ن و	root_000493	د ن و	د ن و	source_root_norm	132	د ن و=>root_000493=>د ن و=>د ن و=>source_root_norm:132	same_word_same_root:132	2:61:34|2:85:48|2:86:5|2:114:28|2:130:16|2:200:22|2:201:8|2:204:9	أَدْنَىٰ|ٱلدُّنْيَا|أَدْنَىٰٓ|ٱلدُّنْيَآ|الدُّنْيَا|دَانِيَةٌۭ|ٱلْأَدْنَىٰ|أَدْنَى
د ه ر	2	2	unique	د ه ر	root_000494	د ه ر	د ه ر	source_root_norm	2	د ه ر=>root_000494=>د ه ر=>د ه ر=>source_root_norm:2	same_word_same_root:2	45:24:15|76:1:7	ٱلدَّهْرُ|ٱلدَّهْرِ
د ه ق	1	1	unique	د ه ق	root_000495	د ه ق	د ه ق	source_root_norm	1	د ه ق=>root_000495=>د ه ق=>د ه ق=>source_root_norm:1	same_word_same_root:1	78:34:3	دِهَاقًۭا
د ه م	1	1	unique	د ه م	root_000496	د ه م	د ه م	source_root_norm	1	د ه م=>root_000496=>د ه م=>د ه م=>source_root_norm:1	same_word_same_root:1	55:64:1	مُدْهَآمَّتَانِ
د ه ن	5	4	unique	د ه ن	root_000497	د ه ن	د ه ن	source_root_norm	4	د ه ن=>root_000497=>د ه ن=>د ه ن=>source_root_norm:4	same_word_same_root:4	23:20:9|55:37:9|56:81:6|68:9:3	ٱلدُّهْنِ|ٱلدِّهَانِ|مُّدْهِنُونَ|تُدْهِنُ
د ه ي	1	1	unique	د ه ي	root_000498	د ه ي	د ه ي	source_root_norm	1	د ه ي=>root_000498=>د ه ي=>د ه ي=>source_root_norm:1	same_word_same_root:1	54:46:6	أَدْهَىٰ
د و ر	55	39	unique	د و ر	root_000499	د و ر	د و ر	source_root_norm	39	د و ر=>root_000499=>د و ر=>د و ر=>source_root_norm:39	same_word_same_root:39	2:94:5|5:52:13|6:32:11|6:127:3|6:135:16|7:78:7|7:91:7|7:145:26	ٱلدَّارُ|دَآئِرَةٌۭ|لدَّارُ|دَارُ|ٱلدَّارِ|دَارِهِمْ|دَارَ|ٱلدَّوَآئِرَ
د و ل	2	1	unique	د و ل	root_000500	د و ل	د و ل	source_root_norm	1	د و ل=>root_000500=>د و ل=>د و ل=>source_root_norm:1	same_word_same_root:1	59:7:29	دُولَةًۢ
د و م	9	9	split	د و م	root_000501	د و م	د و م	source_root_norm	5	د و م=>root_000501=>د و م=>د و م=>source_root_norm:5|د م و=>root_000490=>د م و=>د م و=>source_root_norm:4	same_word_root_diff:4|same_word_same_root:5	3:75:24|5:96:18|5:117:20|19:31:14|5:24:9|11:107:4|11:108:11|13:35:11	دُمْتَ|دُمْتُمْ|دُمْتُ|دَامُوا۟|دَامَتِ|دَآئِمٌ|دَآئِمُونَ
د و ن	144	144	unique	د و ن	root_000502	د و ن	د و ن	source_root_norm	144	د و ن=>root_000502=>د و ن=>د و ن=>source_root_norm:144	same_word_same_root:144	2:23:20|2:94:11|2:107:14|2:165:7|3:28:7|3:64:28|3:79:21|3:118:9	دُونِ|دُونِكُمْ|دُونَ|دُونِهِ|دُونِهِۦٓ|دُونِهِۦ|دُونِهِمْ|دُونِكَ
د ي ن	101	101	unique	د ي ن	root_000504	د ي ن	د ي ن	source_root_norm	101	د ي ن=>root_000504=>د ي ن=>د ي ن=>source_root_norm:101	same_word_same_root:101	1:4:3|2:132:14|2:193:9|2:217:41|2:217:49|2:256:4|2:282:6|2:282:8	ٱلدِّينِ|ٱلدِّينَ|ٱلدِّينُ|دِينِكُمْ|دِينِهِۦ|تَدَايَنتُم|دَيْنٍ|الدِّينَ
ذ ء ب	3	3	unique	ذ ء ب	root_000505	ذ ء ب	ذ أ ب	root_norm_unique	3	ذ ء ب=>root_000505=>ذ ء ب=>ذ أ ب=>root_norm_unique:3	same_word_same_root:3	12:13:12|12:14:5|12:17:14	الذِّئْبُ|ٱلذِّئْبُ
ذ ء م	1	1	unique	ذ ء م	root_000506	ذ ء م	ذ أ م	root_norm_unique	1	ذ ء م=>root_000506=>ذ ء م=>ذ أ م=>root_norm_unique:1	same_word_same_root:1	7:18:4	مَذْءُومًۭا
ذ ب ب	2	2	unique	ذ ب ب	root_000507	ذ ب ب	ذ ب ب	source_root_norm	2	ذ ب ب=>root_000507=>ذ ب ب=>ذ ب ب=>source_root_norm:2	same_word_same_root:2	22:73:17|22:73:25	ذُبَابًۭا|ٱلذُّبَابُ
ذ ب ح	9	7	unique	ذ ب ح	root_000508	ذ ب ح	ذ ب ح	source_root_norm	7	ذ ب ح=>root_000508=>ذ ب ح=>ذ ب ح=>source_root_norm:7	same_word_same_root:7	2:67:11|2:71:24|5:3:33|27:21:7|28:4:13|37:102:14|37:107:4	تَذْبَحُوا۟|ذَبَحُوهَا|ذُبِحَ|أَذْبَحَنَّهُۥٓ|يُذَبِّحُ|أَذْبَحُكَ|ذِبْحٍ
ذ ب ذ ب	1	1	unique	ذ ب ذ ب	root_000509	ذ ب ذ ب	ذ ب ذ ب	source_root_norm	1	ذ ب ذ ب=>root_000509=>ذ ب ذ ب=>ذ ب ذ ب=>source_root_norm:1	same_word_same_root:1	4:143:1	مُذَبْذَبِينَ
ذ خ ر	1	0	no_frozen_rooted_surface_match						0				
ذ ر ء	6	5	unique	ذ ر ء	root_000510	ذ ر ء	ذ ر أ	root_norm_unique	5	ذ ر ء=>root_000510=>ذ ر ء=>ذ ر أ=>root_norm_unique:5	same_word_same_root:5	6:136:6|7:179:4|16:13:3|23:79:4|67:24:4	ذَرَأَ|ذَرَأْنَا|ذَرَأَكُمْ
ذ ر ر	38	3	split	ذ ر ر	root_000511	ذ ر ر	ذ ر ر	source_root_norm	2	ذ ر ر=>root_000511=>ذ ر ر=>ذ ر ر=>source_root_norm:2|ذ ر ء ذ ر ر=>=>=>=>missing_furuq_root:1	same_word_root_diff:1|same_word_same_root:2	2:266:25|34:3:20|34:22:11	ذُرِّيَّةٌۭ|ذَرَّةٍۢ|ذَرَّةٍ
ذ ر ع	5	5	unique	ذ ر ع	root_000512	ذ ر ع	ذ ر ع	source_root_norm	5	ذ ر ع=>root_000512=>ذ ر ع=>ذ ر ع=>source_root_norm:5	same_word_same_root:5	11:77:13|18:18:17|29:33:14|69:32:4|69:32:6	ذَرْعًا|ذِرَاعَيْهِ|ذَرْعًۭا|ذَرْعُهَا|ذِرَاعًۭا
ذ ر و	3	1	unique	ذ ر و	root_000513	ذ ر و	ذ ر و	source_root_norm	1	ذ ر و=>root_000513=>ذ ر و=>ذ ر و=>source_root_norm:1	same_word_same_root:1	51:1:3	ذَرْوًۭا
ذ ع ن	1	1	unique	ذ ع ن	root_000514	ذ ع ن	ذ ع ن	source_root_norm	1	ذ ع ن=>root_000514=>ذ ع ن=>ذ ع ن=>source_root_norm:1	same_word_same_root:1	24:49:9	مُذْعِنِينَ
ذ ق ن	3	3	unique	ذ ق ن	root_000515	ذ ق ن	ذ ق ن	source_root_norm	3	ذ ق ن=>root_000515=>ذ ق ن=>ذ ق ن=>source_root_norm:3	same_word_same_root:3	17:107:18|17:109:4|36:8:9	لْأَذْقَانِ|ٱلْأَذْقَانِ
ذ ك ر	292	277	unique	ذ ك ر	root_000516	ذ ك ر	ذ ك ر	source_root_norm	277	ذ ك ر=>root_000516=>ذ ك ر=>ذ ك ر=>source_root_norm:277	same_word_same_root:277	2:40:4|2:47:4|2:63:15|2:114:9|2:122:4|2:152:2|2:152:3|2:198:15	اذْكُرُوا|ٱذْكُرُوا|ٱذْكُرُوا۟|يُذْكَرَ|ٱذْكُرُونِىٓ|أَذْكُرْكُمْ|اذْكُرُوهُ|ذِكْرِكُمْ
ذ ك و	1	1	unique	ذ ك و	root_000517	ذ ك و	ذ ك و	source_root_norm	1	ذ ك و=>root_000517=>ذ ك و=>ذ ك و=>source_root_norm:1	same_word_same_root:1	5:3:30	ذَكَّيْتُمْ
ذ ل ل	24	22	unique	ذ ل ل	root_000519	ذ ل ل	ذ ل ل	source_root_norm	22	ذ ل ل=>root_000519=>ذ ل ل=>ذ ل ل=>source_root_norm:22	same_word_same_root:22	2:71:7|3:26:19|3:123:10|5:54:19|7:152:10|10:26:14|10:27:11|16:69:10	ذَلُولٌ|تُذِلُّ|أَذِلَّةٌۭ|أَذِلَّةٍ|ذِلَّةٌۭ|ذِلَّةٌ|ذُلُلًۭا|ٱلذُّلِّ
ذ م م	5	5	unique	ذ م م	root_000520	ذ م م	ذ م م	source_root_norm	5	ذ م م=>root_000520=>ذ م م=>ذ م م=>source_root_norm:5	same_word_same_root:5	9:8:12|9:10:8|17:18:17|17:22:9|68:49:13	ذِمَّةً|مَذْمُومًۭا|مَذْمُومٌ
ذ ن ب	39	39	unique	ذ ن ب	root_000521	ذ ن ب	ذ ن ب	source_root_norm	39	ذ ن ب=>root_000521=>ذ ن ب=>ذ ن ب=>source_root_norm:39	same_word_same_root:39	3:11:16|3:16:9|3:31:13|3:135:14|3:135:18|3:147:11|3:193:18|5:18:16	ذُنُوبِهِمْ|ذُنُوبَنَا|ذُنُوبَكُمْ|ٱلذُّنُوبَ|ذُنُوبِكُمْ|ذَنْبِكِ|بِذُنُوبِ|ذُنُوبِ
ذ ه ب	56	50	unique	ذ ه ب	root_000522	ذ ه ب	ذ ه ب	source_root_norm	50	ذ ه ب=>root_000522=>ذ ه ب=>ذ ه ب=>source_root_norm:50	same_word_same_root:50	2:17:12|2:20:21|3:14:14|3:91:16|4:19:16|5:24:12|8:11:16|8:46:12	ذَهَبَ|ٱلذَّهَبِ|ذَهَبًۭا|تَذْهَبُوا۟|ٱذْهَبْ|يُذْهِبَ|تَذْهَبَ|يُذْهِبْ
ذ ه ل	1	1	unique	ذ ه ل	root_000523	ذ ه ل	ذ ه ل	source_root_norm	1	ذ ه ل=>root_000523=>ذ ه ل=>ذ ه ل=>source_root_norm:1	same_word_same_root:1	22:2:3	تَذْهَلُ
ذ و د	1	0	no_frozen_rooted_surface_match						0				
ذ و ق	63	45	unique	ذ و ق	root_000526	ذ و ق	ذ و ق	source_root_norm	45	ذ و ق=>root_000526=>ذ و ق=>ذ و ق=>source_root_norm:45	same_word_same_root:45	3:106:16|3:181:25|3:185:3|6:30:19|6:65:19|6:148:24|7:22:7|7:39:14	ذُوقُوا۟|ذَآئِقَةُ|ذُوقُوا|يُذِيقَ|ذَاقُوا۟|ذَاقَا|ذُوقُوهُ|أَذَقْنَا
ذ ي ع	1	1	unique	ذ ي ع	root_000528	ذ ي ع	ذ ي ع	source_root_norm	1	ذ ي ع=>root_000528=>ذ ي ع=>ذ ي ع=>source_root_norm:1	same_word_same_root:1	4:83:9	أَذَاعُوا
ر ء س	18	18	unique	ر ء س	root_000529	ر ء س	ر أ س	root_norm_unique	18	ر ء س=>root_000529=>ر ء س=>ر أ س=>root_norm_unique:18	same_word_same_root:18	2:196:19|2:196:33|2:279:18|5:6:19|7:150:23|12:36:19|12:41:19|14:43:3	رُءُوسَكُمْ|رَّأْسِهِ|رُءُوسُ|رُءُوسِكُمْ|رَأْسِ|رَأْسِى|رَأْسِهِ|رُءُوسِهِمْ
ر ء ف	13	13	unique	ر ء ف	root_000530	ر ء ف	ر أ ف	root_norm_unique	13	ر ء ف=>root_000530=>ر ء ف=>ر أ ف=>root_norm_unique:13	same_word_same_root:13	2:143:56|2:207:12|3:30:29|9:117:30|9:128:15|16:7:15|16:47:9|22:65:32	رَءُوفٌ|رَءُوفٌۭ|رَأْفَةٌۭ|رَأْفَةً
ر ء ي	328	147	split	ر ء ي	root_000531	ر ء ي	ر أ ي	root_norm_unique	145	ر ء ي=>root_000531=>ر ء ي=>ر أ ي=>root_norm_unique:145|ر و ي=>root_000615=>ر و ي=>ر و ي=>source_root_norm:2	same_word_root_diff:2|same_word_same_root:145	2:55:10|2:128:13|2:144:2|2:165:23|2:166:9|2:243:2|2:246:2|2:258:2	نَرَى|أَرِنَا|نَرَىٰ|يَرَى|رَأَوُا|تَرَ|رِئَآءَ|رَأْىَ
ر ب ب	980	971	split	ر ب ب	root_000532	ر ب ب	ر ب ب	source_root_norm	970	ر ب ب=>root_000532=>ر ب ب=>ر ب ب=>source_root_norm:970|ر ب و=>root_000537=>ر ب و=>ر ب و=>source_root_norm:1	same_word_root_diff:1|same_word_same_root:970	1:2:4|2:5:5|2:21:5|2:26:22|2:30:4|2:37:5|2:46:5|2:49:20	رَبِّ|رَبِّهِمْ|رَبَّكُمُ|رَبُّكَ|رَّبِّهِۦ|رَّبِّكُمْ|رَبَّكَ|رَبِّكُمْ
ر ب ح	1	1	unique	ر ب ح	root_000533	ر ب ح	ر ب ح	source_root_norm	1	ر ب ح=>root_000533=>ر ب ح=>ر ب ح=>source_root_norm:1	same_word_same_root:1	2:16:9	رَبِحَتْ
ر ب ص	17	17	unique	ر ب ص	root_000534	ر ب ص	ر ب ص	source_root_norm	17	ر ب ص=>root_000534=>ر ب ص=>ر ب ص=>source_root_norm:17	same_word_same_root:17	2:226:6|2:228:3|2:234:8|4:141:2|9:24:34|9:52:3|9:52:10|9:52:24	تَرَبُّصُ|يَتَرَبَّصْنَ|يَتَرَبَّصُونَ|تَرَبَّصُوا|تَرَبَّصُونَ|نَتَرَبَّصُ|مُتَرَبِّصُونَ|يَتَرَبَّصُ
ر ب ط	5	5	unique	ر ب ط	root_000535	ر ب ط	ر ب ط	source_root_norm	5	ر ب ط=>root_000535=>ر ب ط=>ر ب ط=>source_root_norm:5	same_word_same_root:5	3:200:9|8:11:22|8:60:11|18:14:2|28:10:14	رَابِطُوا۟|يَرْبِطَ|رِبَاطِ|رَبَطْنَا
ر ب ع	22	22	unique	ر ب ع	root_000536	ر ب ع	ر ب ع	source_root_norm	22	ر ب ع=>root_000536=>ر ب ع=>ر ب ع=>source_root_norm:22	same_word_same_root:22	2:51:5|2:226:7|2:234:11|2:260:24|4:3:19|4:12:21|4:12:34|4:15:10	أَرْبَعِينَ|أَرْبَعَةِ|أَرْبَعَةَ|أَرْبَعَةً|رُبَٰعَ|ٱلرُّبُعُ|أَرْبَعَةًۭ|أَرْبَعَةٌ
