left	right	score	edge_jaccard	branch_jaccard	root_jaccard	ayah_jaccard	branch_containment	edge_containment	edge_type
P15314	P18505	0.458386	0.379963	0.486079	0.506082	0.666667	0.75	0.666667	mutual_knn
P7504	P9511	0.458386	0.275902	0.520096	0.521966	1.0	0.8	0.5	mutual_knn
P23410	P33270	0.458384	0.381152	0.515072	0.494478	0.571429	0.666667	0.5	mutual_knn
P0524	P5933	0.458383	0.338053	0.415459	0.608486	1.0	0.714286	0.666667	containment
P14464	P25474	0.458381	0.349623	0.502868	0.536184	0.714286	0.666667	0.5	mutual_knn
P11481	P12542	0.45838	0.38802	0.48328	0.47956	0.666667	1.0	1.0	mutual_knn
P15383	P4977	0.45838	0.312978	0.550027	0.562805	0.6875	1.0	0.75	containment
P5093	P8184	0.458378	0.391792	0.442341	0.60586	0.666667	0.714286	0.666667	containment
P31839	P42206	0.458377	0.361909	0.477751	0.464877	0.818182	0.666667	0.5	mutual_knn
P10231	P18745	0.458376	0.367309	0.432097	0.418525	1.0	0.75	0.666667	mutual_knn
P22590	P36918	0.458372	0.328565	0.508761	0.449513	0.875	0.666667	0.5	mutual_knn
P32538	P34273	0.45837	0.340609	0.492094	0.471485	0.857143	0.666667	0.5	mutual_knn
P34273	P34274	0.45837	0.343904	0.487859	0.471485	0.857143	0.666667	0.5	mutual_knn
P23812	P37942	0.458368	0.382646	0.505552	0.492342	0.6	0.666667	0.5	mutual_knn
P28823	P35029	0.458368	0.372075	0.520659	0.487042	0.6	0.666667	0.5	mutual_knn
P4223	P8437	0.458367	0.405084	0.459632	0.437796	0.714286	0.714286	0.666667	mutual_knn
P32974	P37373	0.458366	0.335197	0.510935	0.487003	0.8	0.666667	0.5	mutual_knn
P26908	P36693	0.458365	0.344944	0.505889	0.427454	0.833333	0.666667	0.5	mutual_knn
P28091	P39952	0.458365	0.384413	0.516349	0.546571	0.5	0.666667	0.5	mutual_knn
P11538	P9248	0.458364	0.391421	0.482038	0.519723	0.615385	0.666667	0.6	mutual_knn
P24217	P32056	0.458364	0.370167	0.499072	0.504471	0.666667	0.666667	0.5	mutual_knn
P28638	P36036	0.458364	0.349706	0.483219	0.461548	0.857143	0.666667	0.5	mutual_knn
P16604	P20157	0.458363	0.385969	0.498548	0.465486	0.636364	0.75	0.666667	mutual_knn
P23148	P40111	0.458363	0.352264	0.510572	0.511436	0.7	0.666667	0.5	mutual_knn
P10868	P7103	0.458362	0.375401	0.435565	0.619835	0.75	0.8	0.75	mutual_knn
P27842	P32380	0.458362	0.379881	0.491334	0.48782	0.666667	0.666667	0.5	mutual_knn
P28874	P30550	0.458362	0.399561	0.500904	0.476879	0.555556	0.666667	0.5	mutual_knn
P3025	P5269	0.458362	0.375112	0.4351	0.59499	0.777778	0.833333	0.8	containment
P4988	P7090	0.458362	0.385917	0.444663	0.598364	0.692308	0.714286	0.666667	mutual_knn
P23254	P25537	0.458361	0.336198	0.509324	0.441931	0.846154	0.666667	0.5	mutual_knn
P24604	P26499	0.458361	0.341767	0.455542	0.451259	1.0	0.666667	0.5	mutual_knn
P30351	P39410	0.45836	0.406012	0.486744	0.552939	0.5	0.666667	0.5	mutual_knn
P43369	P44309	0.45836	0.329583	0.499282	0.477987	0.875	0.666667	0.5	mutual_knn
P21645	P22496	0.458359	0.369079	0.477131	0.474998	0.777778	0.666667	0.5	mutual_knn
P11474	P17936	0.458358	0.437762	0.501323	0.506085	0.352941	0.8	0.75	mutual_knn
P29670	P33653	0.458358	0.344757	0.498123	0.510972	0.777778	0.666667	0.5	mutual_knn
P26007	P34059	0.458357	0.368277	0.496536	0.474161	0.714286	0.666667	0.5	mutual_knn
P40088	P43613	0.458357	0.348802	0.477145	0.410625	0.933333	0.666667	0.5	mutual_knn
P28868	P44805	0.458356	0.308371	0.480845	0.512934	1.0	0.666667	0.5	mutual_knn
P13905	P16849	0.458355	0.410147	0.478901	0.461729	0.6	0.75	0.666667	mutual_knn
P13094	P8415	0.458354	0.358255	0.428035	0.564182	0.909091	0.666667	0.6	mutual_knn
P34496	P41699	0.458354	0.369371	0.528114	0.44797	0.625	0.666667	0.5	mutual_knn
P21847	P9676	0.458352	0.280482	0.568847	0.580388	0.75	1.0	0.666667	mutual_knn
P24966	P30511	0.458351	0.341385	0.488481	0.462591	0.875	0.666667	0.5	mutual_knn
P25086	P25733	0.458351	0.343172	0.503025	0.478646	0.8	0.666667	0.5	mutual_knn
P28171	P33370	0.458351	0.341117	0.479432	0.453807	0.916667	0.666667	0.5	mutual_knn
P32802	P39337	0.458351	0.381932	0.528923	0.46813	0.545455	0.666667	0.5	mutual_knn
P38027	P44366	0.458351	0.347799	0.49783	0.476013	0.8	0.666667	0.5	mutual_knn
P22679	P27234	0.45835	0.415633	0.500533	0.532709	0.428571	0.666667	0.5	mutual_knn
P28207	P33021	0.458349	0.379707	0.493456	0.522716	0.625	0.666667	0.5	mutual_knn
P6872	P9765	0.458349	0.394479	0.453817	0.434264	0.785714	0.666667	0.6	mutual_knn
P22339	P28097	0.458348	0.371516	0.5135	0.489405	0.625	0.666667	0.5	mutual_knn
P24455	P36020	0.458348	0.382831	0.498611	0.54417	0.571429	0.666667	0.5	mutual_knn
P24662	P31446	0.458348	0.372523	0.481643	0.471381	0.75	0.666667	0.5	mutual_knn
P17557	P9030	0.458347	0.273401	0.555814	0.595319	0.8125	1.0	0.666667	containment
P26303	P41483	0.458347	0.388307	0.500333	0.484925	0.6	0.666667	0.5	mutual_knn
P25386	P39359	0.458346	0.318052	0.488581	0.442186	1.0	0.666667	0.5	mutual_knn
P25770	P33645	0.458346	0.34929	0.449327	0.439012	1.0	0.666667	0.5	mutual_knn
P28705	P30563	0.458346	0.333604	0.492107	0.502722	0.857143	0.666667	0.5	mutual_knn
P27310	P38726	0.458344	0.37674	0.500115	0.471035	0.666667	0.666667	0.5	mutual_knn
P10615	P33642	0.458343	0.298632	0.497087	0.49978	1.0	0.666667	0.5	mutual_knn
P35066	P35697	0.458343	0.405894	0.544392	0.543841	0.307692	0.666667	0.5	mutual_knn
P39817	P42472	0.458343	0.337348	0.504781	0.44149	0.857143	0.666667	0.5	mutual_knn
P13562	P7994	0.458342	0.382171	0.501261	0.57077	0.538462	0.75	0.666667	mutual_knn
P7016	P9346	0.458342	0.359286	0.414032	0.608432	0.909091	0.666667	0.6	containment
P11794	P8608	0.458341	0.393407	0.490778	0.470359	0.625	0.666667	0.6	mutual_knn
P24103	P30042	0.458341	0.408269	0.492392	0.422828	0.6	0.666667	0.5	mutual_knn
P26115	P36411	0.458341	0.343254	0.515251	0.485386	0.75	0.666667	0.5	mutual_knn
P3771	P7430	0.458341	0.410447	0.458512	0.417317	0.714286	0.666667	0.625	mutual_knn
P42018	P44994	0.458341	0.340649	0.501169	0.463059	0.833333	0.666667	0.5	mutual_knn
P24757	P33602	0.45834	0.400221	0.51567	0.523018	0.454545	0.666667	0.5	mutual_knn
P27356	P38251	0.458338	0.38096	0.493869	0.557184	0.583333	0.666667	0.5	mutual_knn
P31670	P32757	0.458337	0.358659	0.48482	0.558247	0.714286	0.666667	0.5	mutual_knn
P10024	P17412	0.458335	0.391443	0.496811	0.458012	0.625	0.75	0.666667	mutual_knn
P6125	P7697	0.458335	0.285983	0.508214	0.517682	1.0	0.714286	0.5	mutual_knn
P26700	P32184	0.458334	0.3401	0.493638	0.525157	0.8	0.666667	0.5	mutual_knn
P20601	P31821	0.458333	0.389466	0.493393	0.503861	0.6	0.666667	0.5	mutual_knn
P26962	P29438	0.458333	0.342107	0.495745	0.475403	0.833333	0.666667	0.5	mutual_knn
P29160	P37894	0.458333	0.307716	0.501665	0.442783	1.0	0.666667	0.5	mutual_knn
P31521	P33435	0.458333	0.328418	0.503047	0.469781	0.875	0.666667	0.5	mutual_knn
P15388	P20340	0.458332	0.41293	0.509165	0.514484	0.428571	0.75	0.666667	mutual_knn
P26191	P40183	0.458332	0.377671	0.488263	0.460593	0.714286	0.666667	0.5	mutual_knn
P27158	P39431	0.458332	0.362553	0.486292	0.464089	0.785714	0.666667	0.5	mutual_knn
P27339	P33971	0.458331	0.362265	0.483272	0.428335	0.833333	0.666667	0.5	mutual_knn
P28234	P36288	0.458331	0.298698	0.493961	0.510307	1.0	0.666667	0.5	mutual_knn
P30235	P38216	0.458331	0.331056	0.514913	0.491361	0.8	0.666667	0.5	mutual_knn
P31603	P39428	0.458331	0.301888	0.497193	0.484639	1.0	0.666667	0.5	mutual_knn
P40676	P42720	0.458331	0.334064	0.489379	0.510059	0.857143	0.666667	0.5	mutual_knn
P43782	P44613	0.458331	0.379265	0.5	0.459951	0.666667	0.666667	0.5	mutual_knn
P2364	P5984	0.45833	0.365584	0.424018	0.454114	1.0	0.714286	0.666667	mutual_knn
P30421	P35409	0.458329	0.335764	0.485441	0.464215	0.909091	0.666667	0.5	mutual_knn
P28068	P30697	0.458328	0.355086	0.476033	0.444273	0.875	0.666667	0.5	mutual_knn
P25609	P37742	0.458327	0.343993	0.490301	0.462101	0.857143	0.666667	0.5	mutual_knn
P29511	P31729	0.458327	0.340207	0.521692	0.476421	0.75	0.666667	0.5	mutual_knn
P34372	P44227	0.458327	0.346498	0.491514	0.525954	0.777778	0.666667	0.5	mutual_knn
P34556	P35223	0.458326	0.344657	0.493467	0.448027	0.857143	0.666667	0.5	mutual_knn
P31961	P36141	0.458325	0.373266	0.494968	0.456878	0.714286	0.666667	0.5	mutual_knn
P33412	P39231	0.458325	0.360468	0.509656	0.540986	0.636364	0.666667	0.5	mutual_knn
P42009	P43339	0.458324	0.352972	0.515858	0.522695	0.666667	0.666667	0.5	mutual_knn
P18562	P8480	0.458323	0.391807	0.515819	0.514733	0.5	0.75	0.666667	mutual_knn
P27247	P30991	0.458323	0.421828	0.515672	0.505152	0.375	0.666667	0.5	mutual_knn
