left	right	score	edge_jaccard	branch_jaccard	root_ayah_jaccard	window_cosine	branch_containment	edge_containment	edge_type
C282	C436	0.376335	0.331707	0.320823	0.21469	0.927661	0.525384	0.542916	mutual_knn
C404	C408	0.376244	0.292757	0.299974	0.43162	0.967118	0.467717	0.487794	mutual_knn
C195	C862	0.376132	0.277993	0.345064	0.40959	0.926572	0.525733	0.50632	mutual_knn
C122	C275	0.37564	0.277146	0.310866	0.462617	0.975453	0.515242	0.541011	mutual_knn
C376	C409	0.375637	0.281449	0.35397	0.37139	0.915824	0.538856	0.490141	mutual_knn
C314	C398	0.375628	0.306468	0.235947	0.539085	0.977019	0.382925	0.502029	mutual_knn
C377	C791	0.375292	0.331978	0.27476	0.363706	0.905042	0.466816	0.568532	mutual_knn
C148	C402	0.375285	0.316093	0.287848	0.340484	0.968364	0.44829	0.481508	mutual_knn
C273	C511	0.375185	0.242843	0.32995	0.584032	0.963754	0.587521	0.706768	mutual_knn
C191	C449	0.37518	0.308957	0.297541	0.343738	0.970648	0.462472	0.581478	mutual_knn
C250	C342	0.375083	0.285515	0.35415	0.300527	0.960275	0.524677	0.495168	mutual_knn
C266	C448	0.375001	0.300479	0.276946	0.439502	0.97727	0.477446	0.494293	mutual_knn
C031	C375	0.374993	0.327636	0.278086	0.324388	0.953105	0.500138	0.498353	mutual_knn
C215	C518	0.374929	0.305841	0.261303	0.462446	0.973729	0.421643	0.559017	mutual_knn
C427	C720	0.374833	0.278931	0.287172	0.531005	0.961154	0.450654	0.458189	mutual_knn
C346	C408	0.374824	0.337212	0.301018	0.220572	0.938556	0.464199	0.557942	mutual_knn
C225	C242	0.374813	0.319532	0.284036	0.317363	0.980999	0.46007	0.535246	mutual_knn
C352	C691	0.37467	0.317924	0.324895	0.271782	0.910616	0.508132	0.485265	mutual_knn
C840	C918	0.374663	0.308638	0.264605	0.47001	0.939616	0.425516	0.602249	mutual_knn
C352	C569	0.374539	0.347018	0.321096	0.236923	0.810093	0.577488	0.617143	mutual_knn
C214	C380	0.374394	0.315731	0.285545	0.346544	0.962102	0.451246	0.493405	mutual_knn
C484	C558	0.374387	0.327187	0.325952	0.248976	0.881104	0.586273	0.609513	mutual_knn
C686	C910	0.37417	0.279748	0.339511	0.366503	0.957924	0.55795	0.500405	mutual_knn
C253	C549	0.37414	0.331913	0.294222	0.246597	0.952577	0.456968	0.502574	mutual_knn
C154	C304	0.374031	0.262732	0.317273	0.504376	0.970462	0.620623	0.662865	mutual_knn
C528	C783	0.373993	0.268374	0.308903	0.502861	0.968496	0.499086	0.49223	mutual_knn
C015	C769	0.373967	0.37842	0.260748	0.208135	0.857195	0.446292	0.704898	mutual_knn
C248	C335	0.373861	0.333867	0.286323	0.275546	0.934758	0.488047	0.501404	mutual_knn
C699	C763	0.373852	0.275572	0.339255	0.39137	0.951524	0.509491	0.493792	mutual_knn
C829	C919	0.373777	0.370352	0.281362	0.306534	0.735391	0.452918	0.543344	mutual_knn
C264	C378	0.37363	0.347325	0.242164	0.345543	0.927635	0.395597	0.565887	mutual_knn
C053	C058	0.373602	0.307214	0.290051	0.372699	0.957095	0.451051	0.471631	mutual_knn
C363	C579	0.37359	0.355995	0.228929	0.320685	0.948451	0.402648	0.656148	mutual_knn
C663	C759	0.373585	0.269935	0.32303	0.475335	0.941742	0.515864	0.504112	mutual_knn
C416	C657	0.373093	0.282881	0.351525	0.294611	0.967343	0.578188	0.608117	mutual_knn
C360	C470	0.37309	0.360826	0.237859	0.248556	0.964635	0.384791	0.541043	mutual_knn
C103	C410	0.373062	0.321967	0.285421	0.280984	0.983539	0.449709	0.576915	mutual_knn
C119	C455	0.372939	0.245396	0.352076	0.47745	0.968726	0.527558	0.51944	mutual_knn
C388	C549	0.372546	0.311675	0.301922	0.316323	0.944997	0.473801	0.476843	mutual_knn
C118	C139	0.372427	0.296507	0.343982	0.247782	0.962014	0.571821	0.614582	mutual_knn
C549	C576	0.37242	0.328015	0.293583	0.294997	0.908373	0.459693	0.5015	mutual_knn
C408	C645	0.372297	0.337507	0.291258	0.211692	0.949966	0.452913	0.550163	mutual_knn
C116	C286	0.372279	0.311414	0.289246	0.33961	0.958375	0.518551	0.558912	mutual_knn
C419	C601	0.372227	0.339269	0.294297	0.260174	0.882862	0.481008	0.535681	mutual_knn
C309	C582	0.372094	0.33985	0.244735	0.335555	0.951927	0.396806	0.649899	mutual_knn
C157	C176	0.371911	0.304333	0.274655	0.417888	0.955599	0.456689	0.524242	mutual_knn
C089	C586	0.371835	0.318457	0.300131	0.300195	0.925477	0.464526	0.53617	mutual_knn
C102	C360	0.371781	0.319249	0.286542	0.286623	0.97532	0.448908	0.600113	mutual_knn
C383	C406	0.371698	0.323527	0.300437	0.247704	0.950328	0.4655	0.566766	mutual_knn
C536	C635	0.37167	0.327833	0.315716	0.274542	0.85584	0.489635	0.533049	mutual_knn
C184	C375	0.371648	0.260195	0.280842	0.620035	0.952947	0.497302	0.478833	mutual_knn
C253	C489	0.371488	0.303683	0.296928	0.344857	0.96082	0.476754	0.606404	mutual_knn
C170	C697	0.371274	0.279172	0.314296	0.418208	0.955779	0.515038	0.454678	mutual_knn
C102	C470	0.371069	0.32267	0.278501	0.340098	0.921739	0.439612	0.619595	mutual_knn
C040	C649	0.371019	0.290403	0.381285	0.17388	0.940443	0.669845	0.490381	mutual_knn
C283	C905	0.37092	0.32171	0.290269	0.322111	0.907731	0.457654	0.587464	mutual_knn
C177	C602	0.370909	0.318674	0.236531	0.425366	0.980761	0.385345	0.513189	mutual_knn
